Timestamp,Angle (rad),Velocity (RPM),Duty Target (%),Duty U (%),Duty V (%),Duty W (%),Mode
13:14:43.349,2.359598398208618,599.0200805664062,39.50729751586914,16.921367645263672,83.06474304199219,34.856903076171875,2
13:14:43.349,0.39228472113609314,591.013427734375,39.90723419189453,84.25951385498047,42.15060043334961,15.726590156555176,2
13:14:43.349,4.729438781738281,592.912109375,39.81480407714844,51.0141716003418,15.51819896697998,84.46790313720703,2
13:14:43.349,2.834186553955078,595.896240234375,39.666927337646484,16.435121536254883,83.55098724365234,62.7535400390625,2
13:14:43.349,0.8559015393257141,590.6321411132812,39.93388748168945,82.68963623046875,69.533203125,17.296470642089844,2
13:14:43.349,5.275850296020508,601.0476684570312,39.41448211669922,80.21672821044922,19.769380569458008,77.4937515258789,2
13:14:43.349,3.3506128787994385,602.2644653320312,39.35419464111328,17.588218688964844,68.25507354736328,82.39788818359375,2
13:14:43.349,1.4526783227920532,606.8825073242188,39.123756408691406,56.90469741821289,83.63433837890625,16.351764678955078,2
13:14:43.349,5.823583602905273,603.3991088867188,39.29875946044922,83.95387268066406,16.032230377197266,46.22117233276367,2
13:14:43.349,3.896911859512329,600.9498291015625,39.41908645629883,16.76854705810547,36.41289138793945,83.21755981445312,2
13:14:43.349,2.0181026458740234,604.880859375,39.22148513793945,24.548486709594727,80.61961364746094,19.366491317749023,2
13:14:43.350,0.11751775443553925,592.4943237304688,39.84125518798828,81.68936157226562,26.382328033447266,18.296749114990234,2
13:14:43.350,4.463903427124023,600.6932983398438,39.43074035644531,35.440399169921875,16.89358139038086,83.092529296875,2
13:14:43.350,2.552762985229492,597.90771484375,39.5687255859375,15.79605484008789,84.19005584716797,46.12392044067383,2
13:14:43.350,0.5947193503379822,592.8180541992188,39.822723388671875,84.39844512939453,54.23728942871094,15.587663650512695,2
13:14:43.502,5.009276390075684,596.9417724609375,39.61499786376953,67.37982940673828,17.18532943725586,82.80077362060547,2
13:14:43.502,3.1197669506073,600.8170776367188,39.4200325012207,20.061128616333008,79.92498016357422,78.4384536743164,2
13:14:43.502,1.2195968627929688,611.0545043945312,38.908321380615234,70.07501983642578,81.6337890625,18.35232162475586,2
13:14:43.502,5.628578186035156,604.5946655273438,39.227821350097656,83.676025390625,16.310087203979492,57.68268585205078,2
13:14:43.502,3.6969497203826904,600.9210815429688,39.40991973876953,15.879410743713379,48.11058807373047,84.10669708251953,2
13:14:43.503,1.8364624977111816,611.6939697265625,38.86933898925781,34.69019317626953,82.46735382080078,17.518754959106445,2
13:14:43.503,6.186675548553467,603.5720825195312,39.27482223510742,80.95304107666016,19.033065795898438,25.59044075012207,2
13:14:43.503,4.206300735473633,600.627197265625,39.42146301269531,21.325366973876953,20.130590438842773,79.85551452636719,2
13:14:43.503,2.29938006401062,594.880615234375,39.709354400634766,17.338150024414062,82.64795684814453,31.328147888183594,2
13:14:43.503,0.3234705626964569,588.511474609375,40.03032684326172,83.96776580810547,38.05223846435547,16.018339157104492,2
13:14:43.503,4.722778797149658,598.504638671875,39.5309944152832,50.61128234863281,15.754376411437988,84.23172760009766,2
13:14:43.503,2.7400708198547363,591.6663818359375,39.87470626831055,15.712697982788086,84.27340698242188,57.27980041503906,2
13:14:43.503,0.7975157499313354,589.999267578125,39.96146011352539,83.31481170654297,66.21283721923828,16.671297073364258,2
13:14:43.503,5.210060119628906,603.2759399414062,39.29767990112305,78.1328125,20.08891487121582,79.8971939086914,2
13:14:43.503,3.2936863899230957,598.3873901367188,39.5425910949707,18.08835792541504,71.51986694335938,81.89775085449219,2
13:14:43.504,1.3911772966384888,611.771484375,38.87491989135742,60.40566635131836,83.12030792236328,16.865795135498047,2
13:14:43.504,5.785235404968262,602.9763793945312,39.31175994873047,84.0233383178711,15.962767601013184,48.48569107055664,2
13:14:43.504,3.8456220626831055,600.2479248046875,39.448333740234375,16.37955093383789,39.372047424316406,83.60655975341797,2
13:14:43.504,1.996724009513855,606.8528442382812,39.11767578125,25.743261337280273,80.8418960571289,19.144207000732422,2
13:14:43.504,0.060354605317115784,601.5481567382812,39.382965087890625,80.50847625732422,23.589887619018555,19.477632522583008,2
13:14:43.504,4.432220458984375,602.9581298828125,39.31098937988281,33.68991470336914,17.282577514648438,82.70352935791016,2
13:14:43.504,2.5150599479675293,599.3939819335938,39.48790740966797,15.976659774780273,84.00944519042969,43.90108108520508,2
13:14:43.504,0.5576353073120117,590.59326171875,39.92881393432617,84.55126190185547,52.02833938598633,15.434843063354492,2
13:14:43.504,4.986242771148682,601.1626586914062,39.39809799194336,65.9766616821289,17.14365005493164,82.84246063232422,2
13:14:43.504,3.0565929412841797,597.2869873046875,39.590023040771484,18.949708938598633,81.0363998413086,75.21533966064453,2
13:14:43.504,1.139587640762329,610.9507446289062,38.9064826965332,74.38177490234375,80.60572052001953,19.380382537841797,2
13:14:43.504,5.572272777557373,604.711669921875,39.21538162231445,83.35649108886719,16.629619598388672,60.94748306274414,2
13:14:43.504,3.6047680377960205,598.3082275390625,39.53485107421875,15.82383918762207,53.570438385009766,84.16226196289062,2
