Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Altitude(m),Latitude,Longitude
0,0,0,0,0,0,0,0,-0.272216796875,-0.923095703125,0.236083984375,5.37872314453125,4.92095947265625,-4.0435791015625,544.6942138671875,0.0,0.0
58,0,0,0,0,0,0,0,-0.269775390625,-0.9443359375,0.218994140625,2.1209716796875,1.85394287109375,-0.95367431640625,544.6942138671875,0.0,0.0
113,0,0,0,0,0,0,0,-0.271484375,-0.942626953125,0.20751953125,3.53240966796875,2.03704833984375,-0.3662109375,544.6942138671875,0.0,0.0
167,0,0,0,0,0,0,0,-0.270751953125,-0.946533203125,0.2021484375,3.387451171875,2.2735595703125,-0.29754638671875,545.8726806640625,0.0,0.0
221,0,0,0,0,0,0,0,-0.271728515625,-0.95166015625,0.212646484375,3.73077392578125,1.88446044921875,-0.23651123046875,545.8726806640625,0.0,0.0
275,0,0,0,0,0,0,0,-0.267822265625,-0.94873046875,0.214111328125,3.5400390625,2.09808349609375,-0.396728515625,545.8726806640625,0.0,0.0
329,0,0,0,0,0,0,0,-0.274169921875,-0.948974609375,0.2109375,3.84521484375,1.85394287109375,-0.29754638671875,545.8726806640625,0.0,0.0
383,0,0,0,0,0,0,0,-0.2705078125,-0.94677734375,0.2080078125,4.5318603515625,1.99127197265625,-0.14495849609375,545.8726806640625,0.0,0.0
437,0,0,0,0,0,0,0,-0.269287109375,-0.950927734375,0.213623046875,4.08935546875,1.678466796875,-0.16021728515625,545.8726806640625,0.0,0.0
491,0,0,0,0,0,0,0,-0.27001953125,-0.94384765625,0.21337890625,4.15802001953125,1.8768310546875,-0.28228759765625,545.8726806640625,0.0,0.0
542,0,0,0,0,0,0,0,-0.27197265625,-0.947021484375,0.211181640625,3.662109375,1.68609619140625,-0.091552734375,545.8726806640625,0.0,0.0
597,0,0,0,0,0,0,0,-0.272216796875,-0.947265625,0.208984375,3.570556640625,1.8768310546875,-0.08392333984375,545.8726806640625,0.0,0.0
651,0,0,0,0,0,0,0,-0.270263671875,-0.947021484375,0.2138671875,3.76129150390625,1.59454345703125,0.00762939453125,545.8726806640625,0.0,0.0
709,0,0,0,0,0,0,0,-0.272705078125,-0.948486328125,0.209228515625,3.79180908203125,1.89208984375,-0.396728515625,545.8726806640625,0.0,0.0
763,0,0,0,0,0,0,0,-0.269287109375,-0.94775390625,0.210693359375,3.79180908203125,1.8463134765625,-0.63323974609375,545.8726806640625,0.0,0.0
817,0,0,0,0,0,0,0,-0.275390625,-0.95068359375,0.213134765625,3.875732421875,1.60980224609375,-0.32806396484375,545.8726806640625,0.0,0.0
871,0,0,0,0,0,0,0,-0.269775390625,-0.947265625,0.21435546875,3.8909912109375,1.8768310546875,-0.20599365234375,545.8726806640625,0.0,0.0
925,0,0,0,0,0,0,0,-0.27392578125,-0.951416015625,0.217041015625,3.71551513671875,1.54876708984375,-0.63323974609375,545.8726806640625,0.0,0.0
