Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
1,0,0,0,0,0,0,0,-0.007080078125,-0.834716796875,0.663330078125,3.57818603515625,1.3427734375,0.02288818359375,545.7088012695312,0.0,0.0,-17.0,99.98999786376953,0,0
59,0,0,0,0,0,0,0,-0.001953125,-0.8291015625,0.67529296875,3.47900390625,1.5716552734375,-0.28228759765625,545.7088012695312,0.0,0.0,-17.0,99.98999786376953,0,0
114,0,0,0,0,0,0,0,0.0087890625,-0.821044921875,0.678955078125,3.4027099609375,1.39617919921875,-0.08392333984375,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
168,0,0,0,0,0,0,0,0.016845703125,-0.826171875,0.672119140625,3.570556640625,1.70135498046875,-0.12969970703125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
222,0,0,0,0,0,0,0,0.0,-0.8251953125,0.678466796875,3.7689208984375,1.93023681640625,-0.79345703125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
276,0,0,0,0,0,0,0,0.004638671875,-0.8330078125,0.671875,3.66973876953125,2.3040771484375,-1.0223388671875,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
330,0,0,0,0,0,0,0,0.00537109375,-0.8291015625,0.674560546875,3.44085693359375,1.80816650390625,-0.9307861328125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
384,0,0,0,0,0,0,0,0.002685546875,-0.828369140625,0.67333984375,3.65447998046875,2.1514892578125,-1.09100341796875,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
438,0,0,0,0,0,0,0,0.005615234375,-0.834228515625,0.68310546875,3.86810302734375,2.03704833984375,-1.5716552734375,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
493,0,0,0,0,0,0,0,0.00439453125,-0.827392578125,0.675537109375,4.058837890625,1.99127197265625,-1.36566162109375,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
547,0,0,0,0,0,0,0,0.00390625,-0.8271484375,0.680908203125,3.65447998046875,1.67083740234375,-1.52587890625,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
598,0,0,0,0,0,0,0,0.0146484375,-0.829833984375,0.677001953125,3.9520263671875,1.495361328125,-0.79345703125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
652,0,0,0,0,0,0,0,0.0126953125,-0.8291015625,0.67724609375,3.91387939453125,0.9613037109375,-0.8697509765625,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
706,0,0,0,0,0,0,0,0.020263671875,-0.824951171875,0.671630859375,3.97491455078125,1.07574462890625,-0.61798095703125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
760,0,0,0,0,0,0,0,0.011474609375,-0.82373046875,0.677734375,3.6163330078125,1.28936767578125,-0.95367431640625,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
814,0,0,0,0,0,0,0,0.012451171875,-0.828857421875,0.67431640625,3.692626953125,0.885009765625,-0.63323974609375,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
868,0,0,0,0,0,0,0,0.022216796875,-0.828857421875,0.67431640625,3.448486328125,1.48773193359375,-0.92315673828125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
922,0,0,0,0,0,0,0,0.011962890625,-0.828125,0.67041015625,3.60870361328125,2.5482177734375,-1.21307373046875,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
977,0,0,0,0,0,0,0,0.012939453125,-0.823974609375,0.681396484375,3.88336181640625,2.8228759765625,-2.02178955078125,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
1031,0,0,0,0,0,0,0,0.0234375,-0.824462890625,0.678955078125,3.57818603515625,2.9754638671875,-2.79998779296875,545.8330078125,0.0,0.0,-17.0,99.98999786376953,0,0
1085,0,0,0,0,0,0,0,0.029296875,-0.822998046875,0.68115234375,3.47137451171875,3.7384033203125,-2.9144287109375,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
1139,0,0,0,0,0,0,0,0.029296875,-0.822998046875,0.68115234375,3.51715087890625,3.84521484375,-2.655029296875,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
1193,0,0,0,0,0,0,0,0.0302734375,-0.819580078125,0.675537109375,3.47137451171875,3.36456298828125,-2.166748046875,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
1247,0,0,0,0,0,0,0,0.027099609375,-0.818359375,0.683349609375,3.50189208984375,2.93731689453125,-1.48773193359375,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
1301,0,0,0,0,0,0,0,0.0361328125,-0.8193359375,0.68212890625,3.28826904296875,2.5787353515625,-1.27410888671875,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
1359,0,0,0,0,0,0,0,0.02783203125,-0.823486328125,0.682373046875,3.36456298828125,2.46429443359375,-0.80108642578125,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
1413,0,0,0,0,0,0,0,0.023681640625,-0.823486328125,0.679443359375,3.51715087890625,2.13623046875,0.20599365234375,545.59521484375,0.0,0.0,-17.0,99.98999786376953,0,0
