Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
161,2026,9,5,0,17,31,1,0.533203125,-0.843994140625,0.190673828125,-1.556396484375,10.88714599609375,8.514404296875,527.8734741210938,-7.343723773956299,110.48756408691406,-0.6539999842643738,27.209999084472656,2,3
211,2026,9,5,0,17,31,1,0.519775390625,-0.887451171875,0.266845703125,-1.30462646484375,8.76617431640625,6.69097900390625,527.8734741210938,-7.343723773956299,110.48756408691406,-0.6539999842643738,27.209999084472656,2,3
261,2026,9,5,0,17,31,1,0.5634765625,-0.79150390625,0.210205078125,3.9825439453125,3.6163330078125,2.3040771484375,527.8734741210938,-7.343723773956299,110.48756408691406,-0.6539999842643738,27.209999084472656,2,3
311,2026,9,5,0,17,31,1,0.54443359375,-0.802978515625,0.25048828125,3.41033935546875,3.72314453125,-2.43377685546875,527.8734741210938,-7.343723297119141,110.48756408691406,-0.5099999904632568,27.209999084472656,2,3
361,2026,9,5,0,17,31,1,0.514892578125,-0.835693359375,0.20849609375,4.24957275390625,3.12042236328125,-1.1749267578125,527.8734741210938,-7.343723297119141,110.48756408691406,-0.5099999904632568,27.209999084472656,2,3
411,2026,9,5,0,17,31,1,0.508544921875,-0.838134765625,0.25,3.16619873046875,1.7547607421875,0.14495849609375,527.8734741210938,-7.343723297119141,110.48756408691406,-0.5099999904632568,27.209999084472656,2,3
461,2026,9,5,0,17,31,1,0.521240234375,-0.8154296875,0.236572265625,3.42559814453125,2.72369384765625,0.1373291015625,527.8734741210938,-7.343723297119141,110.48756408691406,-0.5099999904632568,27.209999084472656,2,3
511,2026,9,5,0,17,31,1,0.521484375,-0.84521484375,0.237548828125,4.70733642578125,1.70135498046875,-0.9002685546875,527.8734741210938,-7.343723297119141,110.48756408691406,-0.4480000138282776,27.209999084472656,2,3
561,2026,9,5,0,17,31,1,0.52978515625,-0.832763671875,0.244384765625,3.82232666015625,2.6702880859375,-0.96893310546875,527.8734741210938,-7.343723297119141,110.48756408691406,-0.4480000138282776,27.209999084472656,2,3
611,2026,9,5,0,17,31,1,0.530029296875,-0.833984375,0.256103515625,3.3111572265625,3.6773681640625,0.16021728515625,527.8734741210938,-7.343723297119141,110.48756408691406,-0.4480000138282776,27.209999084472656,2,3
661,2026,9,5,0,17,31,1,0.507080078125,-0.811279296875,0.252685546875,1.51824951171875,6.30950927734375,1.59454345703125,527.8734741210938,-7.343723297119141,110.48756408691406,-0.4480000138282776,27.209999084472656,2,3
711,2026,9,5,0,17,31,1,0.51611328125,-0.85693359375,0.226806640625,2.63214111328125,3.814697265625,0.5035400390625,527.8734741210938,-7.343723297119141,110.48756408691406,-0.45500001311302185,27.209999084472656,2,3
761,2026,9,5,0,17,31,1,0.538330078125,-0.829833984375,0.251220703125,2.73895263671875,1.7852783203125,0.579833984375,527.8734741210938,-7.343723297119141,110.48756408691406,-0.45500001311302185,27.209999084472656,2,3
811,2026,9,5,0,17,31,1,0.529541015625,-0.824462890625,0.228515625,3.96728515625,3.02886962890625,-1.13677978515625,527.8734741210938,-7.343723297119141,110.48756408691406,-0.45500001311302185,27.209999084472656,2,3
861,2026,9,5,0,17,31,1,0.53759765625,-0.823974609375,0.240234375,4.32586669921875,-1.068115234375,-0.64849853515625,527.8734741210938,-7.343723297119141,110.48756408691406,-0.45500001311302185,27.209999084472656,2,3
911,2026,9,5,0,17,31,1,0.5244140625,-0.7939453125,0.294189453125,3.5247802734375,-6.35528564453125,-5.18035888671875,527.8734741210938,-7.343723297119141,110.48757934570312,-0.3610000014305115,27.209999084472656,2,3
961,2026,9,5,0,17,31,1,0.4619140625,-0.88525390625,0.238525390625,3.143310546875,10.41412353515625,-3.2958984375,527.8734741210938,-7.343723297119141,110.48757934570312,-0.3610000014305115,27.209999084472656,2,3
1011,2026,9,5,0,17,31,1,0.515380859375,-0.85205078125,0.272705078125,4.02069091796875,-3.76129150390625,5.859375,527.8734741210938,-7.343723297119141,110.48757934570312,-0.3610000014305115,27.209999084472656,2,3
1061,2026,9,5,0,17,31,1,0.526611328125,-0.843017578125,0.248291015625,4.0283203125,7.7056884765625,0.3509521484375,527.8734741210938,-7.343723297119141,110.48757934570312,-0.3610000014305115,27.209999084472656,2,3
1111,2026,9,5,0,17,32,1,0.520751953125,-0.842041015625,0.23193359375,4.3792724609375,0.40435791015625,2.3193359375,527.8734741210938,-7.343723297119141,110.48757934570312,-0.38199999928474426,27.209999084472656,2,3
1161,2026,9,5,0,17,32,1,0.53173828125,-0.824951171875,0.239013671875,4.0130615234375,3.9825439453125,-1.07574462890625,528.0452270507812,-7.343723297119141,110.48757934570312,-0.38199999928474426,27.209999084472656,2,3
1211,2026,9,5,0,17,32,1,0.53173828125,-0.824951171875,0.239013671875,4.0283203125,3.95965576171875,-1.09100341796875,528.0452270507812,-7.343723297119141,110.48757934570312,-0.38199999928474426,27.209999084472656,2,3
1261,2026,9,5,0,17,32,1,0.53271484375,-0.8271484375,0.239013671875,3.8299560546875,2.72369384765625,-0.7781982421875,528.0452270507812,-7.343723297119141,110.48757934570312,-0.38199999928474426,27.209999084472656,2,3
1311,2026,9,5,0,17,32,1,0.527099609375,-0.834716796875,0.237548828125,3.448486328125,2.11334228515625,-0.2899169921875,528.0452270507812,-7.343723297119141,110.48757934570312,-0.5019999742507935,27.200000762939453,2,3
1361,2026,9,5,0,17,32,1,0.52587890625,-0.834228515625,0.243408203125,3.76129150390625,2.23541259765625,-0.32806396484375,528.0452270507812,-7.343723297119141,110.48757934570312,-0.5019999742507935,27.200000762939453,2,3
1411,2026,9,5,0,17,32,1,0.530029296875,-0.841064453125,0.240234375,3.6163330078125,2.3956298828125,-0.4119873046875,528.0452270507812,-7.343723297119141,110.48757934570312,-0.5019999742507935,27.200000762939453,2,3
1461,2026,9,5,0,17,32,1,0.531982421875,-0.833984375,0.2470703125,3.36456298828125,2.1514892578125,-0.6561279296875,528.0452270507812,-7.343723297119141,110.48757934570312,-0.5019999742507935,27.200000762939453,2,3
