Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
50,2026,9,5,0,4,6,1,0.3681640625,-0.59912109375,0.834716796875,3.875732421875,2.01416015625,0.0152587890625,531.85009765625,-7.342840671539307,110.49272155761719,619.4959716796875,2.819999933242798,2,3
100,2026,9,5,0,4,6,1,0.368408203125,-0.602294921875,0.827392578125,4.0435791015625,2.166748046875,-0.1373291015625,531.85009765625,-7.342840671539307,110.49272155761719,619.4959716796875,2.819999933242798,2,3
150,2026,9,5,0,4,6,1,0.367431640625,-0.603515625,0.831787109375,3.8909912109375,2.18963623046875,0.00762939453125,531.85009765625,-7.342841625213623,110.49272155761719,619.4959716796875,2.819999933242798,2,3
200,2026,9,5,0,4,6,1,0.367919921875,-0.60400390625,0.834228515625,4.08935546875,1.739501953125,-0.16021728515625,531.85009765625,-7.342841625213623,110.49272155761719,619.4959716796875,2.819999933242798,2,3
250,2026,9,5,0,4,6,1,0.368896484375,-0.608154296875,0.828857421875,3.8909912109375,1.79290771484375,-0.16021728515625,531.85009765625,-7.342841625213623,110.49272155761719,619.4959716796875,2.819999933242798,2,3
300,2026,9,5,0,4,6,1,0.345947265625,-0.5751953125,0.901123046875,-3.2501220703125,-0.89263916015625,1.41143798828125,531.85009765625,-7.342841625213623,110.49272155761719,619.4959716796875,2.819999933242798,2,3
350,2026,9,5,0,4,7,1,0.37060546875,-0.606201171875,0.837158203125,3.6163330078125,2.43377685546875,-0.30517578125,531.85009765625,-7.342841625213623,110.49273681640625,619.4959716796875,2.819999933242798,2,3
400,2026,9,5,0,4,7,1,0.37060546875,-0.606201171875,0.837158203125,3.77655029296875,2.38037109375,-0.35858154296875,530.4893188476562,-7.342841625213623,110.49273681640625,619.4959716796875,2.819999933242798,2,3
450,2026,9,5,0,4,7,1,0.3681640625,-0.603759765625,0.8310546875,3.82232666015625,1.91497802734375,-0.16021728515625,530.4893188476562,-7.342841625213623,110.49273681640625,619.4959716796875,2.819999933242798,2,3
500,2026,9,5,0,4,7,1,0.368896484375,-0.600830078125,0.835693359375,3.88336181640625,1.67083740234375,-0.17547607421875,530.4893188476562,-7.342841625213623,110.49273681640625,619.4959716796875,2.819999933242798,2,3
550,2026,9,5,0,4,7,1,0.364990234375,-0.60400390625,0.830078125,4.1351318359375,1.88446044921875,-0.213623046875,530.4893188476562,-7.342840671539307,110.49273681640625,619.4959716796875,2.819999933242798,2,3
