Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites,SpeedLeft,SpeedRight,Vbus,Iq,RPM_TIM2CH1,RPM_TIM5CH2,Temp1,Temp2
51,1980,1,6,0,0,39,0,0.016357421875,1.00537109375,0.227294921875,3.1890869140625,2.227783203125,0.1220703125,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
101,1980,1,6,0,0,39,0,0.0146484375,1.00634765625,0.21875,2.8839111328125,2.37274169921875,-0.35858154296875,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
151,1980,1,6,0,0,39,0,0.018310546875,1.00537109375,0.218994140625,3.8909912109375,1.6021728515625,-0.12969970703125,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
201,1980,1,6,0,0,39,0,0.013916015625,1.0078125,0.216796875,3.6163330078125,1.93023681640625,-0.03814697265625,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
251,1980,1,6,0,0,39,0,0.018310546875,1.0068359375,0.217041015625,3.72314453125,2.0904541015625,-0.1678466796875,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
301,1980,1,6,0,0,39,0,0.01806640625,1.00439453125,0.211669921875,2.69317626953125,2.75421142578125,-0.7781982421875,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
351,1980,1,6,0,0,39,0,0.01953125,1.0048828125,0.207763671875,2.84576416015625,2.3193359375,-0.61798095703125,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
401,1980,1,6,0,0,39,0,0.018310546875,1.00146484375,0.210205078125,3.57818603515625,1.89971923828125,-0.06103515625,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
451,1980,1,6,0,0,39,0,0.016357421875,1.0029296875,0.21240234375,3.8299560546875,2.05230712890625,-0.06103515625,562.1173706054688,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
501,1980,1,6,0,0,39,0,0.01513671875,1.006103515625,0.21435546875,3.30352783203125,2.044677734375,-0.0457763671875,562.3472290039062,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
551,1980,1,6,0,0,39,0,0.0185546875,1.006591796875,0.217529296875,3.31878662109375,2.044677734375,-0.1068115234375,562.3472290039062,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
763,1980,1,6,0,0,39,0,0.019775390625,1.008056640625,0.212890625,3.7384033203125,1.983642578125,-0.11444091796875,562.3472290039062,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
813,1980,1,6,0,0,39,0,0.01513671875,1.00341796875,0.208740234375,3.56292724609375,2.09808349609375,0.0152587890625,562.3472290039062,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
863,1980,1,6,0,0,39,0,0.01708984375,1.004150390625,0.217529296875,3.4942626953125,2.03704833984375,-0.06103515625,562.3472290039062,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.9375,27.25
