Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
0,0,0,0,0,0,0,0,-0.301025390625,-0.614501953125,0.865966796875,3.6163330078125,2.40325927734375,0.22125244140625,517.7509155273438,-7.332518577575684,110.49799346923828,602.1500244140625,2.9800000190734863,3,5
59,0,0,0,0,0,0,0,-0.302978515625,-0.604736328125,0.86669921875,4.11224365234375,2.47955322265625,0.396728515625,517.7509155273438,-7.332518577575684,110.49799346923828,602.1500244140625,2.9800000190734863,3,5
114,0,0,0,0,0,0,0,-0.298095703125,-0.613525390625,0.86328125,4.4403076171875,2.95257568359375,0.25177001953125,517.7509155273438,-7.332518577575684,110.49799346923828,602.1500244140625,2.9800000190734863,3,5
165,0,0,0,0,0,0,0,-0.313720703125,-0.60546875,0.857421875,4.7760009765625,3.0670166015625,0.40435791015625,517.7509155273438,-7.332518577575684,110.49799346923828,602.2849731445312,2.9800000190734863,3,5
219,0,0,0,0,0,0,0,-0.310302734375,-0.587890625,0.883544921875,4.1351318359375,2.25830078125,0.45013427734375,517.7509155273438,-7.332518577575684,110.49799346923828,602.2849731445312,2.9800000190734863,3,5
273,0,0,0,0,0,0,0,-0.31103515625,-0.59228515625,0.875244140625,3.72314453125,1.89971923828125,0.45013427734375,517.7509155273438,-7.332518577575684,110.49799346923828,602.2849731445312,2.9800000190734863,3,5
327,0,0,0,0,0,0,0,-0.304443359375,-0.60107421875,0.876708984375,3.70025634765625,1.89208984375,0.2288818359375,517.7509155273438,-7.332518577575684,110.49799346923828,602.1409912109375,2.9800000190734863,3,5
381,0,0,0,0,0,0,0,-0.299072265625,-0.6025390625,0.864013671875,3.47137451171875,1.91497802734375,0.2899169921875,517.2805786132812,-7.332518577575684,110.49799346923828,602.1409912109375,2.9800000190734863,3,5
435,0,0,0,0,0,0,0,-0.2744140625,-0.58837890625,0.915771484375,3.35693359375,3.36456298828125,-0.92315673828125,517.2805786132812,-7.332518577575684,110.49799346923828,602.1409912109375,2.9800000190734863,3,5
490,0,0,0,0,0,0,0,-0.341064453125,-0.623779296875,0.862548828125,5.05828857421875,5.13458251953125,-1.91497802734375,517.2805786132812,-7.332518577575684,110.49799346923828,602.1409912109375,2.9800000190734863,3,5
