Time,Ax,Ay,Az,Gx,Gy,Gz,BaroAlt,Lat,Lon,GPSAlt,PDOP,Satellites
1788686758048,0.28,-0.96,0.12,0.9,-0.4,1.2,562.9,-7.342859,110.492416,594.8,3.9,3
1788686758744,0.12,-0.9,-0.08,-250,102.3,-61.7,562.9,-7.342861,110.492416,594.7,3.9,3
1788686759536,0.48,-0.95,-0.15,-250,229.7,128.7,563.5,-7.342864,110.492416,594.5,3.9,3
1788686760223,0.3,-0.98,-0.34,-163.9,59.1,-55.2,563.5,-7.342863,110.492416,594.4,3.9,3
1788686760879,0.16,-1.14,-0.17,0.7,-10.4,-12.3,562.5,-7.342863,110.492416,594.3,3.9,3
1788686761543,0.32,-0.79,-0.39,2.3,3.4,-0.3,562.5,-7.342862,110.492416,594.2,3.9,3
1788686762228,0.32,-0.78,-0.4,2.9,2.9,-0.3,561.7,-7.342861,110.492393,594.1,3.9,3
1788686762924,0.33,-0.77,-0.4,3.7,2.2,-0.4,561,-7.342857,110.492439,594,3.6,5
1788686763606,0.32,-0.78,-0.4,3.5,3,0.1,560.1,-7.342851,110.492477,594.1,3.6,5
1788686764308,0.33,-0.77,-0.41,4,2.6,-0.1,560.1,-7.342846,110.492508,594.1,3.6,5
1788686765011,0.33,-0.77,-0.41,3.8,2.2,-0.3,561,-7.342844,110.492516,594.2,3.6,5
1788686766376,0.33,-0.77,-0.41,3.6,2.3,-0.4,560.5,-7.342824,110.492661,594.3,3.6,5
1788686767125,0.33,-0.77,-0.41,3.9,2.2,-0.5,560.5,-7.342819,110.492683,594.4,3.6,5
1788686767805,0.33,-0.76,-0.42,3.4,2.5,-0.6,561.3,-7.342816,110.492699,594.4,8.1,4
1788686768490,0.33,-0.77,-0.42,3.7,2.1,-0.3,561.3,-7.342817,110.492714,594.4,8.1,4
1788686769336,0.33,-0.77,-0.41,3.7,2.1,-0.9,560.8,-7.342817,110.492714,594.5,8.1,4
