Time,Ax,Ay,Az,Gx,Gy,Gz,BaroAlt,Lat,Lon,GPSAlt,PDOP,Satellites
1788686712550,0.36,-0.91,-0.03,4.1,2.1,-0.2,562.4,-7.342821,110.492516,611.6,10.9,4
1788686713240,0.35,-0.92,-0.03,4.1,2.5,-0.1,563.2,-7.342823,110.492516,611.4,10.9,4
1788686713929,0.35,-0.91,-0.03,3.8,2.2,-0.1,563.2,-7.342824,110.492508,611.3,10.9,4
1788686714614,0.36,-0.91,-0.04,3.8,2.2,-0.5,562.7,-7.342825,110.492516,611.2,10.8,4
1788686715957,0.35,-0.91,-0.03,3.8,2.1,-0.4,562.9,-7.34283,110.492508,611.1,10.8,4
1788686716623,0.36,-0.91,-0.04,3.7,2.4,-0.3,562.9,-7.34283,110.492493,611,10.8,4
1788686717283,0.35,-0.91,-0.03,4,2.4,-0.5,562.7,-7.342827,110.492493,611.2,10.8,4
1788686717969,0.36,-0.91,-0.03,3.8,2.3,-0.6,562.7,-7.342825,110.492493,611.2,10.8,4
1788686718656,0.35,-0.91,-0.04,3.9,2.3,-0.492477,0,0,0,611.1,10.8,4
1788686719348,0.35,-0.91,-0.04,3.7,2.5,-0.2,562.8,-7.342824,110.492493,610.9,10.8,4
1788686720025,0.36,-0.91,-0.04,4,2,-0.7,562.8,-7.342826,110.492493,610.8,3.6,5
1788686720700,0.35,-0.91,-0.03,3.5,2.1,-0.3,562.8,-7.342831,110.49247,610.2,3.6,5
1788686721376,0.35,-0.91,-0.03,4,2.1,-0.5,562.8,-7.342834,110.492439,609.8,3.6,5
1788686722054,0.35,-0.91,-0.04,4,2.2,-0.4,563,-7.342841,110.492401,608.2,3.6,5
1788686722742,0.36,-0.91,-0.03,3.9,2.4,-0.5,562.6,-7.342843,110.492393,607.7,3.6,5
1788686723432,0.01,-1.33,0.09,-0.1,-74.2,16.8,562.6,-7.342848,110.492378,606.8,3.6,5
1788686724109,0.74,0.34,-0.44,10.6,4.8,5,563.6,-7.342851,110.492355,606.3,3.6,5
1788686725439,0.79,0.48,-0.28,-1.2,0.4,1.1,564.2,-7.342861,110.492325,604.6,10.7,4
1788686726118,0.76,0.57,-0.21,-16.7,3.9,4.6,564.2,-7.342863,110.492325,604,10.7,4
1788686726799,0.74,0.55,-0.22,41.1,-4.7,-13.3,564,-7.342864,110.492325,603.7,10.7,4
1788686727464,0.69,0.59,-0.3,8.9,-20,-19,564,-7.342863,110.492317,603.5,10.7,4
1788686728140,0.61,0.65,-0.25,9.6,15.2,1492317,0,0,0,602.9,10.7,4
1788686728825,0.74,0.53,-0.45,-9,-1,-5.6,563.6,-7.342865,110.492317,602.7,10.7,4
1788686729508,0.74,0.45,-0.41,8.1,1.1,2.3,563.6,-7.342865,110.492302,602.2,10.7,4
1788686730170,0.75,0.4,-0.4,12,-0.2,0.9,564.2,-7.342863,110.492302,601.8,10.7,4
1788686730844,0.72,0.36,-0.46,9.4,1.8,-1.2,564.2,-7.34286,110.492302,601.1,10.7,4
1788686731522,0.71,0.32,-0.49,-9.3,0.3,0.6,564.2,-7.342858,110.492317,600.1,10.7,4
1788686732184,0.72,0.41,-0.45,-6.2,0.3,-1.4,564.2,-7.342861,110.492317,599.9,10.7,4
1788686732859,0.73,0.44,-0.39,4.2,2,0,563.8,-7.34286,110.492317,599.6,10.7,4
1788686733536,0.75,0.46,-0.37,-1.9,2.6,4.4,563.4,-7.342862,110.492317,599.3,10.7,4
1788686734911,0.71,0.38,-0.46,127.3,-16.2,-1.2,564.1,-7.342865,110.492317,598.5,10.6,4
1788686735566,0.39,-0.53,-0.58,250,-76.8,-26,564.1,-7.342865,110.492317,598.4,10.6,4
1788686736249,0.36,-0.92,0.28,28,-3.4,28.8,563.4,-7.342865,110.492317,598.2,10.6,4
1788686736934,0.31,-0.93,0.3,5.7,3.6,1.5,563.4,-7.342865,110.492317,598.1,10.6,4
1788686737591,0.24,-0.95,0.3,8.5,3.9,8.2317,0,0,0,597.8,10.6,4
1788686738280,0.23,-0.93,0.33,-9.2,4.7,-6.1,563.9,-7.342866,110.492325,597.5,10.6,4
1788686738955,0.22,-0.94,0.33,-1,5.9,-5.1,563.9,-7.342865,110.49234,597.2,10.6,4
1788686739631,0.25,-0.95,0.14,15.8,-4.1,-1.6,563.6,-7.342864,110.49234,596.8,10.6,4
1788686740350,0.29,-0.95,0.09,8.5,2.6,-6.1,563.6,-7.342863,110.49234,596.7,10.6,4
1788686741035,0.3,-0.93,0.08,-43.3,8.8,-5.4,563.3,-7.342865,110.492325,596,10.6,4
1788686741707,0.59,-0.14,-0.59,-94,12.4,8.8,563.3,-7.342865,110.492317,595.8,10.6,4
1788686742391,0.57,0.09,-0.71,-12.9,9.8,5.1,562.8,-7.342865,110.492317,595.6,10.6,4
1788686743082,0.6,0.1,-0.69,-19.5,7.6,-1.4,563.2,-7.342866,110.492302,595.3,10.6,4
1788686744430,0.63,0.21,-0.61,-1.9,3,0.7,562.2,-7.342869,110.492271,594.3,10.6,4
1788686745109,0.64,0.23,-0.61,4,0.2,-6.5,562.2,-7.342868,110.492287,594,10.6,4
1788686745769,0.64,0.24,-0.61,5,2.3,-2.8,563.1,-7.342867,110.492302,593.9,10.6,4
1788686746452,0.62,0.21,-0.61,15.6,3.6,1.5,563.1,-7.342868,110.492302,593.6,10.6,4
1788686747121,0.61,0.26,-0.63,5.6,4.3,-0.8,562.6,-7.342871,110.492287,593,10.5,4
1788686747862,0.6,0.25,-0.64,-2.8,1.2,1.5,562.6,-7.34287,110.492287,592.8,10.5,4
1788686748539,0.63,0.24,-0.63,3.9,1.6,-4.9,562.8,-7.34287,110.492302,592.5,10.5,4
1788686749226,0.59,0.22,-0.65,-1.3,0.5,-3.1,562.8,-7.342871,110.492317,592,10.5,4
1788686749908,0.6,0.22,-0.65,6.3,0.3,-2.492439,0,0,0,611.9,3.9,3
1788686750590,0.61,0.17,-0.63,1.7,-0.9,-1.6,563.1,-7.342845,110.492416,607.7,3.9,3
1788686751252,0.55,-0.22,-0.69,81.8,-21.8,-5.7,563.1,-7.34285,110.492393,603.8,3.9,3
1788686751910,0.48,-0.4,-0.65,13.6,-4.9,2.2,562.5,-7.342851,110.492393,602.1,3.9,3
1788686752581,0.33,-0.85,-0.25,137.7,-46.6,-6.7,562.5,-7.342851,110.492393,600.3,3.9,3
1788686753274,0.24,-0.92,0.13,-0.4,4.4,2.7,563.4,-7.342853,110.492393,597.8,3.9,3
1788686753948,0.23,-0.96,0.14,-6,2.3,-2.2,563.3,-7.342855,110.492401,597.1,3.9,3
1788686754632,0.26,-0.96,0.19,5.1,0.3,-1.3,563.3,-7.342858,110.492401,596.7,3.9,3
1788686755304,0.31,-0.94,0.12,4.7,2,-1.2,563.9,-7.342859,110.492401,596.3,3.9,3
1788686755966,0.3,-0.92,0.21,0.9,0.2,0.3,0,0,0,0,0,0
1788686756658,0.25,-0.95,0.18,3.1,6.5,-1.4,563.1,-7.342861,110.492416,595.2,3.9,3
1788686757351,0.32,-0.91,0.12,10.6,11.7,11.6,563.1,-7.34286,110.492416,595,3.9,3
